id1,id2,shared_cm_total,n_segments,max_segment_cm,mean_segment_cm,P_IBD_ge1_approx
HG00096,HG00125,1.03349,1,1.03349,1.03349,0.004787693258084045
HG00096,HG00331,1.25358,1,1.25358,1.25358,0.005807271008397756
HG00096,HG00553,1.00962,1,1.00962,1.00962,0.004677114309017807
HG00097,HG02651,1.18598,1,1.18598,1.18598,0.0054941106834343004
HG00101,HG00116,1.00989,1,1.00989,1.00989,0.004678365097297986
HG00101,HG00125,1.01928,1,1.01928,1.01928,0.004721864734153117
HG00101,HG00323,1.01521,1,1.01521,1.01521,0.004703010258966708
HG00101,HG01351,1.10894,1,1.10894,1.10894,0.005137219094156422
HG00101,HG01770,1.00503,1,1.00503,1.00503,0.004655850908254757
HG00101,HG01786,1.14035,1,1.14035,1.14035,0.005282727464083968
HG00101,NA12890,1.14035,1,1.14035,1.14035,0.005282727464083968
HG00101,NA20530,1.50635,1,1.50635,1.50635,0.006978240466105044
HG00109,HG00362,1.20278,1,1.20278,1.20278,0.00557193750975658
HG00109,HG03782,1.20058,1,1.20058,1.20058,0.00556174590154771
HG00110,HG00281,1.22103,1,1.22103,1.22103,0.005656481532398341
HG00110,HG01323,1.18011,1,1.18011,1.18011,0.005466917619713361
HG00110,NA20775,1.08333,1,1.08333,1.08333,0.005018579509506805
HG00110,NA20856,1.00401,1,1.00401,1.00401,0.004651125708085189
HG00111,NA20539,1.26956,1,1.26956,1.26956,0.005881299144387638
HG00115,HG00189,1.21988,1,1.21988,1.21988,0.0056511541008346135
HG00115,HG00272,1.03063,1,1.03063,1.03063,0.004774444167412514
HG00115,HG01565,1.01638,1,1.01638,1.01638,0.0047084303415141525
HG00115,NA20796,1.04674,1,1.04674,1.04674,0.004849074534796556
HG00116,HG01054,1.41593,1,1.41593,1.41593,0.006559365368720492
HG00116,NA18539,1.02355,1,1.02355,1.02355,0.0047416457191766966
HG00118,HG01761,1.06033,1,1.06033,1.06033,0.004912030878232257
HG00118,NA20527,1.06033,1,1.06033,1.06033,0.004912030878232257
HG00122,HG00109,1.19315,1,1.19315,1.19315,0.0055273260610968445
HG00122,HG01474,1.06282,1,1.06282,1.06282,0.0049235659257050235
HG00122,HG01705,1.0109,1,1.0109,1.0109,0.004683043971975695
HG00122,NA07048,1.57129,1,1.57129,1.57129,0.007279078210234138
HG00122,NA12890,1.0464,1,1.0464,1.0464,0.004847499468073367
HG00122,NA20797,1.04939,1,1.04939,1.04939,0.004861350790139059
HG00125,HG00173,1.03774,1,1.03774,1.03774,0.0048073815921239075
HG00125,HG00239,1.25516,1,1.25516,1.25516,0.005814590436111399
HG00125,HG00272,1.03431,1,1.03431,1.03431,0.004791491948416442
HG00125,HG00383,1.62024,1,1.62024,1.62024,0.007505841492881491
HG00125,HG01060,1.03863,1,1.03863,1.03863,0.004811504560899313
HG00125,HG01323,1.22206,1,1.22206,1.22206,0.005661253058059766
HG00125,HG01348,1.04939,1,1.04939,1.04939,0.004861350790139059
HG00125,HG01500,1.34572,1,1.34572,1.34572,0.006234114090381969
HG00125,HG03663,1.00401,1,1.00401,1.00401,0.004651125708085189
HG00125,HG03900,1.07219,1,1.07219,1.07219,0.004966972911576437
HG00125,HG04134,1.39719,1,1.39719,1.39719,0.006472551396977664
HG00125,HG04144,1.02231,1,1.02231,1.02231,0.004735901358186243
HG00125,NA20534,1.41387,1,1.41387,1.41387,0.0065498223173976414
HG00125,NA20539,1.23497,1,1.23497,1.23497,0.005721059268049089
HG00126,HG00111,1.0653,1,1.0653,1.0653,0.00493505464768593
HG00126,HG02733,1.03353,1,1.03353,1.03353,0.004787878560051479
HG00126,NA11995,1.03774,1,1.03774,1.03774,0.0048073815921239075
HG00126,NA20536,1.18291,1,1.18291,1.18291,0.005479888757433741
HG00130,HG01161,1.14144,1,1.14144,1.14144,0.005287776942696545
HG00130,NA20887,1.17114,1,1.17114,1.17114,0.005425363653516288
HG00131,HG00323,1.14859,1,1.14859,1.14859,0.0053208996693753716
HG00131,HG01251,1.03392,1,1.03392,1.03392,0.00478968525423396
HG00131,HG01500,1.06282,1,1.06282,1.06282,0.0049235659257050235
HG00131,HG01565,1.00401,1,1.00401,1.00401,0.004651125708085189
HG00131,HG03663,1.00401,1,1.00401,1.00401,0.004651125708085189
HG00131,NA11931,1.08711,1,1.08711,1.08711,0.005036090545429318
HG00131,NA12286,1.01164,1,1.01164,1.01164,0.004686472058373224
HG00132,HG00151,1.41593,1,1.41593,1.41593,0.006559365368720492
HG00132,HG00173,1.09614,1,1.09614,1.09614,0.005077922464577543
HG00132,HG00272,1.19099,1,1.19099,1.19099,0.005517319754855409
HG00132,HG01378,1.04411,1,1.04411,1.04411,0.004836890930437771
HG00132,HG01474,1.04939,1,1.04939,1.04939,0.004861350790139059
HG00132,HG03914,1.18011,1,1.18011,1.18011,0.005466917619713361
HG00132,NA06994,1.18011,1,1.18011,1.18011,0.005466917619713361
HG00137,HG00160,1.84718,1,1.84718,1.84718,0.008557152205118275
HG00137,HG00311,1.10245,1,1.10245,1.10245,0.005107153849940256
HG00137,HG01124,1.00272,1,1.00272,1.00272,0.004645149719635443
HG00137,HG01140,1.00272,1,1.00272,1.00272,0.004645149719635443
HG00137,HG01705,1.02581,1,1.02581,1.02581,0.004752115280336718
HG00137,HG02087,1.03732,1,1.03732,1.03732,0.00480543592146585
HG00137,HG02239,1.05682,1,1.05682,1.05682,0.004895770630589924
HG00137,HG04033,1.00272,1,1.00272,1.00272,0.004645149719635443
HG00137,NA20812,1.04939,1,1.04939,1.04939,0.004861350790139059
HG00142,HG00101,1.04785,1,1.04785,1.04785,0.0048542166643928495
HG00142,HG00159,1.22608,1,1.22608,1.22608,0.005679875905786883
HG00142,HG01456,1.03058,1,1.03058,1.03058,0.004774212539953222
HG00142,HG01672,1.22206,1,1.22206,1.22206,0.005661253058059766
HG00142,HG01710,1.04497,1,1.04497,1.04497,0.004840874922737602
HG00142,HG03007,1.06134,1,1.06134,1.06134,0.004916709752909965
HG00151,HG01054,1.04411,1,1.04411,1.04411,0.004836890930437771
HG00151,HG01500,1.04939,1,1.04939,1.04939,0.004861350790139059
HG00151,HG03663,1.39164,1,1.39164,1.39164,0.006446840748996197
HG00151,NA07347,1.08333,1,1.08333,1.08333,0.005018579509506805
HG00151,NA19059,1.18598,1,1.18598,1.18598,0.0054941106834343004
HG00158,HG01054,1.05662,1,1.05662,1.05662,0.004894844120752753
HG00158,HG01551,1.06033,1,1.06033,1.06033,0.004912030878232257
HG00158,NA12872,1.14167,1,1.14167,1.14167,0.00528884242900929
HG00159,HG00358,1.09854,1,1.09854,1.09854,0.0050890405826235835
HG00159,HG01060,1.03925,1,1.03925,1.03925,0.004814376741394541
HG00159,HG01786,1.06952,1,1.06952,1.06952,0.004954604005250218
HG00160,HG00261,1.18598,1,1.18598,1.18598,0.0054941106834343004
HG00160,NA18942,1.08346,1,1.08346,1.08346,0.005019181740900967
HG00160,NA21108,1.00272,1,1.00272,1.00272,0.004645149719635443
HG00171,HG00177,1.02981,1,1.02981,1.02981,0.004770645477080116
