id1,id2,n_segments,total_shared_cm,max_segment_cm,mean_segment_cm,mean_lod,max_lod
HG00102,HG01054,1,3.321,3.321,3.321,12.99,12.99
HG00102,NA12815,1,0.546,0.546,0.546,8.3,8.3
HG00108,HG00375,1,0.595,0.595,0.595,12.38,12.38
HG00110,HG00112,1,0.791,0.791,0.791,33.17,33.17
HG00112,HG01620,1,0.536,0.536,0.536,16.11,16.11
HG00112,NA19669,1,0.516,0.516,0.516,15.1,15.1
HG00113,HG00154,1,0.604,0.604,0.604,10.4,10.4
HG00113,HG00641,1,0.506,0.506,0.506,2.19,2.19
HG00119,HG00284,1,0.55,0.55,0.55,11.22,11.22
HG00119,NA19750,1,0.522,0.522,0.522,13.48,13.48
HG00121,HG00261,1,0.75,0.75,0.75,11.74,11.74
HG00121,HG01354,1,3.326,3.326,3.326,2.25,2.25
HG00121,HG03649,1,3.321,3.321,3.321,2.24,2.24
HG00121,NA12413,1,3.357,3.357,3.357,5.34,5.34
HG00127,HG01173,1,0.508,0.508,0.508,8.88,8.88
HG00130,NA20764,1,0.796,0.796,0.796,46.66,46.66
HG00139,NA12717,1,0.629,0.629,0.629,12.17,12.17
HG00157,HG00173,1,0.515,0.515,0.515,10.86,10.86
HG00173,HG00174,1,0.687,0.687,0.687,20.91,20.91
HG00173,HG00326,1,0.542,0.542,0.542,17.58,17.58
HG00173,HG00364,1,0.527,0.527,0.527,5.39,5.39
HG00173,NA12003,1,0.53,0.53,0.53,9.21,9.21
HG00177,HG00271,1,0.522,0.522,0.522,11.91,11.91
HG00180,HG00188,1,0.558,0.558,0.558,14.08,14.08
HG00180,HG00189,1,0.506,0.506,0.506,5.88,5.88
HG00180,HG00336,1,0.614,0.614,0.614,26.41,26.41
HG00188,HG00268,1,0.646,0.646,0.646,16.58,16.58
HG00188,HG00278,1,0.57,0.57,0.57,25.63,25.63
HG00190,HG00335,1,0.566,0.566,0.566,3.64,3.64
HG00231,HG00277,1,0.553,0.553,0.553,12.23,12.23
HG00232,HG02230,1,0.504,0.504,0.504,6.76,6.76
HG00232,NA12750,1,0.61,0.61,0.61,12.83,12.83
HG00243,HG00376,1,0.624,0.624,0.624,14.45,14.45
HG00243,HG01709,1,3.302,3.302,3.302,2.11,2.11
HG00243,HG01791,1,3.301,3.301,3.301,2.71,2.71
HG00245,HG00372,1,0.518,0.518,0.518,16.67,16.67
HG00245,HG01334,1,0.622,0.622,0.622,10.3,10.3
HG00245,NA20507,1,0.543,0.543,0.543,10.32,10.32
HG00251,HG01334,1,0.601,0.601,0.601,17.17,17.17
HG00251,NA21105,1,0.506,0.506,0.506,11.95,11.95
HG00252,HG02220,1,3.332,3.332,3.332,4.63,4.63
HG00252,NA20581,1,3.287,3.287,3.287,1.82,1.82
HG00252,NA20813,1,3.339,3.339,3.339,4.99,4.99
HG00264,HG01048,1,0.555,0.555,0.555,10.69,10.69
HG00268,HG00372,1,0.544,0.544,0.544,13.94,13.94
HG00272,HG00282,1,0.62,0.62,0.62,11.18,11.18
HG00272,HG00376,1,0.566,0.566,0.566,11.25,11.25
HG00280,HG00281,1,0.551,0.551,0.551,21.42,21.42
HG00282,HG00375,1,0.635,0.635,0.635,31.38,31.38
HG00309,HG00326,1,0.523,0.523,0.523,12.88,12.88
HG00310,HG00362,1,0.553,0.553,0.553,13.19,13.19
HG00310,HG00376,1,0.605,0.605,0.605,18.45,18.45
HG00310,HG02235,1,0.534,0.534,0.534,11.29,11.29
HG00310,NA12717,1,0.524,0.524,0.524,9.38,9.38
HG00310,NA20874,1,0.553,0.553,0.553,21.93,21.93
HG00319,HG00336,1,0.572,0.572,0.572,14.03,14.03
HG00319,HG00357,1,0.579,0.579,0.579,19.27,19.27
HG00320,HG01509,1,0.656,0.656,0.656,4.09,4.09
HG00320,NA12005,1,0.586,0.586,0.586,13.51,13.51
HG00326,NA20808,1,3.327,3.327,3.327,16.2,16.2
HG00330,HG01670,1,0.516,0.516,0.516,4.35,4.35
HG00331,HG00336,1,0.616,0.616,0.616,18.77,18.77
HG00335,HG01620,1,0.58,0.58,0.58,9.06,9.06
HG00336,HG01060,1,0.509,0.509,0.509,7.35,7.35
HG00342,HG00362,1,0.516,0.516,0.516,18.54,18.54
HG00353,HG00376,1,0.542,0.542,0.542,16.32,16.32
HG00353,NA12272,1,0.539,0.539,0.539,16.75,16.75
HG00353,NA20507,1,0.555,0.555,0.555,17.41,17.41
HG00358,HG00364,1,0.56,0.56,0.56,16.57,16.57
HG00361,NA12144,1,0.501,0.501,0.501,10.71,10.71
HG00362,HG00376,1,0.828,0.828,0.828,36.1,36.1
HG00362,NA12286,1,3.336,3.336,3.336,4.47,4.47
HG00375,NA19761,1,0.539,0.539,0.539,4.97,4.97
HG00376,HG02236,1,0.655,0.655,0.655,7.81,7.81
HG00376,NA12750,1,0.512,0.512,0.512,5.33,5.33
HG00376,NA12843,1,0.58,0.58,0.58,6.91,6.91
HG00384,HG01626,1,0.5,0.5,0.5,7.9,7.9
HG00407,HG00699,1,0.52,0.52,0.52,6.55,6.55
HG00475,HG00542,1,0.539,0.539,0.539,8.17,8.17
HG00475,HG01874,1,0.543,0.543,0.543,8.42,8.42
HG00475,HG04171,1,0.515,0.515,0.515,7.31,7.31
HG00640,HG01054,1,0.535,0.535,0.535,27.25,27.25
HG00640,HG01055,1,0.511,0.511,0.511,24.11,24.11
HG00640,HG01248,1,0.6,0.6,0.6,49.26,49.26
HG00640,HG01697,1,0.57,0.57,0.57,10.19,10.19
HG00641,HG02236,1,0.556,0.556,0.556,31.48,31.48
HG00641,NA19117,1,0.566,0.566,0.566,70.9,70.9
HG00739,NA12814,1,0.503,0.503,0.503,87.06,87.06
HG00766,HG02389,1,0.828,0.828,0.828,22.47,22.47
HG00844,HG00881,1,3.301,3.301,3.301,2.56,2.56
HG00982,HG02351,1,0.613,0.613,0.613,18.52,18.52
HG01028,HG02035,1,0.552,0.552,0.552,39.44,39.44
HG01048,HG01188,1,0.559,0.559,0.559,23.99,23.99
HG01052,HG01272,1,0.516,0.516,0.516,12.27,12.27
HG01052,HG03304,1,0.539,0.539,0.539,16.1,16.1
HG01054,HG01060,1,0.51,0.51,0.51,19.57,19.57
HG01054,HG01066,1,0.574,0.574,0.574,18.69,18.69
HG01054,HG01069,1,0.753,0.753,0.753,20.53,20.53
HG01054,HG01171,2,1.037,0.53,0.5185,14.86,16.14
HG01055,HG01170,1,0.576,0.576,0.576,8.04,8.04
HG01060,HG01067,2,1.202,0.64,0.601,12.754999999999999,18.63
HG01060,HG01171,1,0.54,0.54,0.54,22.69,22.69
HG01060,HG01177,1,0.539,0.539,0.539,20.31,20.31
HG01060,HG01187,1,0.578,0.578,0.578,28.94,28.94
HG01064,HG03105,1,0.518,0.518,0.518,25.67,25.67
HG01069,HG01073,2,1.355,0.834,0.6775,27.505,48.33
HG01069,HG01111,1,0.527,0.527,0.527,61.36,61.36
HG01073,HG01190,1,0.818,0.818,0.818,22.03,22.03
HG01105,NA19722,1,0.706,0.706,0.706,28.32,28.32
HG01113,NA20763,1,3.288,3.288,3.288,4.06,4.06
HG01131,HG01356,1,0.611,0.611,0.611,28.64,28.64
HG01131,HG01685,1,0.519,0.519,0.519,7.83,7.83
HG01140,HG01551,1,0.53,0.53,0.53,8.07,8.07
HG01148,NA20513,1,0.516,0.516,0.516,17.22,17.22
HG01167,HG01187,1,0.791,0.791,0.791,34.48,34.48
HG01167,NA19312,1,0.522,0.522,0.522,28.81,28.81
HG01170,HG01204,2,1.127,0.616,0.5635,8.49,9.56
HG01170,HG01682,1,0.502,0.502,0.502,7.57,7.57
HG01170,NA20524,1,0.511,0.511,0.511,5.57,5.57
HG01171,HG03246,1,0.504,0.504,0.504,44.84,44.84
HG01204,NA20524,1,0.554,0.554,0.554,4.66,4.66
HG01205,NA12778,1,0.501,0.501,0.501,14.27,14.27
HG01251,HG01351,1,0.731,0.731,0.731,47.66,47.66
HG01260,HG03111,1,0.589,0.589,0.589,26.75,26.75
HG01271,HG01432,1,0.594,0.594,0.594,23.72,23.72
HG01271,HG01474,1,0.51,0.51,0.51,40.28,40.28
HG01271,HG01550,1,0.614,0.614,0.614,67.61,67.61
HG01271,HG03785,1,3.278,3.278,3.278,1.13,1.13
HG01305,NA11881,1,3.341,3.341,3.341,22.43,22.43
HG01342,HG01440,1,0.625,0.625,0.625,34.22,34.22
HG01351,HG01676,1,0.58,0.58,0.58,11.99,11.99
HG01354,HG03649,1,3.368,3.368,3.368,4.14,4.14
HG01354,NA12413,1,3.311,3.311,3.311,2.25,2.25
HG01357,HG01497,1,0.569,0.569,0.569,7.22,7.22
HG01357,NA12750,1,0.508,0.508,0.508,4.5,4.5
HG01360,NA20535,1,0.581,0.581,0.581,14.54,14.54
HG01390,HG02278,1,0.532,0.532,0.532,8.3,8.3
HG01390,NA20867,1,3.307,3.307,3.307,1.96,1.96
HG01444,NA19770,1,0.511,0.511,0.511,4.98,4.98
HG01474,HG01550,1,0.51,0.51,0.51,40.07,40.07
HG01495,HG01510,1,0.521,0.521,0.521,29.71,29.71
HG01527,HG01705,1,0.542,0.542,0.542,28.51,28.51
HG01537,HG02223,1,0.559,0.559,0.559,6.41,6.41
HG01537,NA20803,1,0.557,0.557,0.557,11.42,11.42
HG01550,HG02493,1,3.286,3.286,3.286,1.36,1.36
HG01550,HG03785,1,3.293,3.293,3.293,1.09,1.09
HG01550,HG04080,1,3.293,3.293,3.293,1.35,1.35
HG01550,HG04106,1,3.293,3.293,3.293,1.36,1.36
HG01550,NA20866,1,3.293,3.293,3.293,1.37,1.37
HG01550,NA20869,1,3.322,3.322,3.322,2.25,2.25
HG01572,HG01918,1,0.547,0.547,0.547,26.11,26.11
HG01697,NA20803,1,3.283,3.283,3.283,1.07,1.07
HG01709,HG01791,1,3.347,3.347,3.347,4.99,4.99
HG01765,HG01766,1,0.537,0.537,0.537,34.41,34.41
HG01807,HG02521,1,0.519,0.519,0.519,7.76,7.76
HG01809,HG02155,1,0.518,0.518,0.518,10.15,10.15
HG01869,HG02017,1,0.683,0.683,0.683,31.13,31.13
HG01882,HG03303,1,0.569,0.569,0.569,34.1,34.1
HG01882,NA19431,1,0.513,0.513,0.513,8.81,8.81
HG01894,HG02455,1,0.507,0.507,0.507,26.4,26.4
HG01894,NA19917,1,0.509,0.509,0.509,27.55,27.55
HG01917,NA18547,1,3.32,3.32,3.32,2.51,2.51
HG01936,NA19681,1,0.601,0.601,0.601,6.39,6.39
HG01947,HG02008,1,0.545,0.545,0.545,12.78,12.78
HG01965,HG02104,1,0.589,0.589,0.589,8.01,8.01
HG01965,HG02262,1,0.574,0.574,0.574,6.76,6.76
HG02047,HG02364,1,0.572,0.572,0.572,17.98,17.98
HG02054,HG03103,1,0.535,0.535,0.535,56.5,56.5
HG02054,HG03121,1,0.548,0.548,0.548,65.11,65.11
HG02054,HG03270,1,0.503,0.503,0.503,37.3,37.3
