id1,id2,n_segments,total_shared_cm,max_segment_cm,mean_segment_cm,mean_lod,max_lod
HG00112,HG00372,1,0.5,0.5,0.5,4.51,4.51
HG00130,HG00139,1,0.508,0.508,0.508,3.08,3.08
HG00130,HG04212,1,0.616,0.616,0.616,4.25,4.25
HG00139,HG04212,1,0.508,0.508,0.508,3.08,3.08
HG00177,HG00280,1,0.831,0.831,0.831,37.76,37.76
HG00180,HG00320,1,0.566,0.566,0.566,8.09,8.09
HG00185,HG00335,1,0.519,0.519,0.519,7.29,7.29
HG00245,HG00271,1,0.534,0.534,0.534,7.91,7.91
HG00271,HG00326,1,0.718,0.718,0.718,17.39,17.39
HG00274,HG00357,1,0.59,0.59,0.59,19.04,19.04
HG00274,HG00364,1,0.602,0.602,0.602,30.67,30.67
HG00282,HG00319,1,0.511,0.511,0.511,16.34,16.34
HG00282,HG00342,1,0.608,0.608,0.608,19.73,19.73
HG00284,HG00331,1,0.52,0.52,0.52,11.16,11.16
HG00284,HG00342,1,0.548,0.548,0.548,15.61,15.61
HG00319,HG00342,1,0.584,0.584,0.584,18.82,18.82
HG00320,HG00335,1,0.523,0.523,0.523,14.32,14.32
HG00331,NA20806,1,0.729,0.729,0.729,47.61,47.61
HG00358,HG00376,2,1.0470000000000002,0.54,0.5235000000000001,20.17,22.12
HG00372,HG04020,1,0.5,0.5,0.5,5.04,5.04
HG00698,NA19080,1,0.525,0.525,0.525,10.2,10.2
HG00699,HG02384,1,0.605,0.605,0.605,14.41,14.41
HG01052,HG01188,1,0.575,0.575,0.575,11.16,11.16
HG01073,HG01131,1,0.534,0.534,0.534,9.52,9.52
HG01073,HG01204,1,0.509,0.509,0.509,28.73,28.73
HG01073,HG02265,1,0.517,0.517,0.517,7.24,7.24
HG01073,HG02292,1,0.52,0.52,0.52,7.9,7.9
HG01073,NA20299,1,0.517,0.517,0.517,6.38,6.38
HG01113,HG01351,1,0.574,0.574,0.574,20.96,20.96
HG01177,HG01187,1,0.799,0.799,0.799,25.28,25.28
HG01182,HG03999,1,0.512,0.512,0.512,8.14,8.14
HG01271,HG01345,1,0.54,0.54,0.54,27.08,27.08
HG01432,NA19729,1,0.531,0.531,0.531,7.91,7.91
HG01488,HG02265,1,0.597,0.597,0.597,11.76,11.76
