id1,id2,covered_cm_union,covered_cm_ibd2_overlap,P_IBD0,P_IBD1,P_IBD2,P_IBD_ge1,kinship_phi_from_P,covered_cm_bucket0,covered_cm_bucket1
HG00112,HG00372,0.5003250000000001,0.0,0.981270140705389,0.018729859294611025,0.0,0.018729859294611025,0.004682464823652756,0.0,0.5003250000000001
HG00130,HG00139,0.5077619999999996,0.0,0.9809917337427666,0.019008266257233345,0.0,0.019008266257233345,0.004752066564308336,0.0,0.5077619999999996
HG00139,HG04212,0.5077619999999996,0.0,0.9809917337427666,0.019008266257233345,0.0,0.019008266257233345,0.004752066564308336,0.0,0.5077619999999996
HG00185,HG00335,0.5187650000000019,0.0,0.9805798321951353,0.01942016780486468,0.0,0.01942016780486468,0.00485504195121617,0.0,0.5187650000000019
HG00245,HG00271,0.534434000000001,0.0,0.9799932571383477,0.020006742861652254,0.0,0.020006742861652254,0.0050016857154130635,0.0,0.534434000000001
HG00271,HG00326,0.7177770000000017,0.0,0.9731297412383789,0.026870258761621038,0.0,0.026870258761621038,0.0067175646904052595,0.0,0.7177770000000017
HG00274,HG00357,0.5903479999999988,0.0,0.9779000949885475,0.02209990501145256,0.0,0.02209990501145256,0.00552497625286314,0.0,0.5903479999999988
HG00274,HG00364,0.6017089999999996,0.0,0.9774747915728754,0.02252520842712456,0.0,0.02252520842712456,0.00563130210678114,0.0,0.6017089999999996
HG00282,HG00319,0.5108299999999986,0.0,0.9808768819797808,0.0191231180202191,0.0,0.0191231180202191,0.004780779505054775,0.0,0.5108299999999986
HG00282,HG00342,0.6077799999999982,0.0,0.9772475213469671,0.022752478653032832,0.0,0.022752478653032832,0.005688119663258208,0.0,0.6077799999999982
HG00284,HG00331,0.5200279999999964,0.0,0.9805325513031371,0.01946744869686286,0.0,0.01946744869686286,0.004866862174215715,0.0,0.5200279999999964
HG00284,HG00342,0.5475289999999973,0.0,0.9795030407640654,0.020496959235934694,0.0,0.020496959235934694,0.0051242398089836735,0.0,0.5475289999999973
HG00319,HG00342,0.5836459999999946,0.0,0.9781509869427624,0.021849013057237677,0.0,0.021849013057237677,0.005462253264309419,0.0,0.5836459999999946
HG00320,HG00335,0.5233170000000023,0.0,0.980409426319936,0.019590573680063953,0.0,0.019590573680063953,0.004897643420015988,0.0,0.5233170000000023
