ID1	ID2	n_segments	total_shared_cm	max_segment_cm
HG02292	NA20299	1	0.555	0.555
HG00766	HG02389	1	0.828	0.828
HG03846	HG03886	1	0.677	0.677
NA19027	NA19350	1	0.569	0.569
HG00309	HG00326	1	0.523	0.523
NA19027	NA19404	1	0.613	0.613
HG02031	HG02166	1	0.51	0.51
HG03105	HG03162	1	0.55	0.55
HG00732	HG01170	1	0.554	0.554
NA12750	NA12843	1	0.534	0.534
HG01098	HG01167	1	0.586	0.586
HG01182	HG03999	1	0.512	0.512
HG00353	HG00376	1	0.542	0.542
HG02317	NA19092	1	0.539	0.539
HG03130	NA19117	1	0.56	0.56
HG00245	HG01334	1	0.622	0.622
HG01847	HG02023	1	0.677	0.677
NA19038	NA19350	1	0.517	0.517
HG03514	NA19113	1	0.518	0.518
HG01848	HG02016	1	0.503	0.503
NA19028	NA19385	1	0.812	0.812
HG00320	HG01509	1	0.656	0.656
HG02836	NA19401	1	0.564	0.564
HG01354	NA12413	1	3.311	3.311
NA19722	NA19785	1	0.508	0.508
HG01807	HG01858	1	0.515	0.515
HG01271	HG01432	1	0.594	0.594
HG03077	HG03224	1	0.513	0.513
HG00232	HG02230	1	0.504	0.504
HG01474	HG01550	1	0.51	0.51
HG01495	HG01510	1	0.521	0.521
NA12347	NA20762	1	0.557	0.557
HG00268	HG00372	1	0.544	0.544
HG02580	NA19312	1	0.635	0.635
HG00173	NA12272	1	0.528	0.528
NA19223	NA19471	1	3.305	3.305
NA19036	NA19350	1	0.533	0.533
HG00118	HG00122	1	0.507	0.507
HG04080	NA20866	1	3.336	3.336
HG02265	NA19746	1	3.349	3.349
HG04080	NA20869	1	3.297	3.297
HG02805	HG03436	1	3.294	3.294
HG03436	NA19429	1	3.256	3.256
NA19036	NA19404	1	0.567	0.567
HG03419	NA19117	1	0.532	0.532
HG02220	NA20813	1	3.323	3.323
HG03649	NA12413	1	3.311	3.311
HG03351	HG03455	1	0.54	0.54
HG00331	NA20806	1	0.729	0.729
HG00243	HG01791	1	3.301	3.301
HG00640	HG01054	1	0.535	0.535
HG02054	NA19098	1	0.557	0.557
HG01048	HG01064	1	0.555	0.555
HG01537	NA20803	1	0.557	0.557
HG00640	HG01055	1	0.511	0.511
HG00362	HG00376	3	1.982	0.828
HG02054	HG03514	1	0.582	0.582
HG00268	HG00384	1	0.51	0.51
NA19664	NA20508	1	0.572	0.572
HG02635	HG03055	1	3.324	3.324
HG02322	HG02974	1	3.37	3.37
NA19027	NA19380	2	1.275	0.755
HG00844	HG00881	1	3.301	3.301
HG02429	NA19198	1	0.537	0.537
HG03304	NA19468	1	0.561	0.561
NA19038	NA19375	1	0.517	0.517
NA19038	NA19376	1	0.649	0.649
NA18876	NA19376	1	0.556	0.556
NA19017	NA19467	1	0.508	0.508
NA19037	NA19403	1	0.664	0.664
NA18853	NA19456	1	0.516	0.516
NA18516	NA19113	1	0.656	0.656
HG01098	HG01191	1	0.517	0.517
HG00173	HG00174	1	0.687	0.687
HG01140	HG01551	1	0.53	0.53
HG00275	HG00284	1	0.579	0.579
HG00139	NA12717	1	0.629	0.629
HG03363	NA19153	1	0.594	0.594
HG00121	HG01354	1	3.326	3.326
NA12272	NA20507	1	0.504	0.504
HG02266	HG02312	1	0.553	0.553
HG03785	HG04106	1	3.312	3.312
NA19092	NA19399	1	0.517	0.517
HG01868	HG02384	1	0.619	0.619
HG03225	NA19331	1	0.518	0.518
NA19350	NA19375	3	1.74	0.698
NA19350	NA19376	2	1.298	0.796
HG03514	NA19098	1	0.526	0.526
HG02322	HG03428	1	3.342	3.342
HG00108	HG00177	1	0.506	0.506
HG03111	NA18933	1	0.502	0.502
HG01709	HG01791	1	3.347	3.347
HG00188	HG00739	1	0.506	0.506
HG01936	NA19681	1	0.601	0.601
NA18876	NA19430	1	0.586	0.586
