id1,id2,shared_cm_total,n_segments,max_segment_cm,mean_segment_cm,P_IBD_ge1_approx_chr,chr
HG00096,HG00125,1.03349,1,1.03349,1.03349,0.010459346452115598,chr20
HG00096,HG00331,1.25358,1,1.25358,1.25358,0.012686748324069966,chr20
HG00096,HG00553,1.00962,1,1.00962,1.00962,0.010217772174849248,chr20
HG00101,HG00323,1.01521,1,1.01521,1.01521,0.010274345287958543,chr20
HG00101,HG01351,1.10894,1,1.10894,1.10894,0.011222931672884181,chr20
HG00101,HG01786,1.14035,1,1.14035,1.14035,0.011540813870158416,chr20
HG00101,NA12890,1.14035,1,1.14035,1.14035,0.011540813870158416,chr20
HG00109,HG00362,1.20278,1,1.20278,1.20278,0.012172631303327172,chr20
HG00109,HG03782,1.20058,1,1.20058,1.20058,0.012150366392980042,chr20
HG00110,HG00281,1.22103,1,1.22103,1.22103,0.0123573288550704,chr20
HG00110,NA20775,1.08333,1,1.08333,1.08333,0.01096374787561601,chr20
HG00110,NA20856,1.00401,1,1.00401,1.00401,0.010160996653464071,chr20
HG00111,NA20539,1.26956,1,1.26956,1.26956,0.012848472536500477,chr20
HG00115,HG00189,1.21988,1,1.21988,1.21988,0.01234569037920713,chr20
HG00115,HG01565,1.01638,1,1.01638,1.01638,0.0102861861720977,chr20
HG00116,NA18539,1.02355,1,1.02355,1.02355,0.010358749539001752,chr20
HG00118,HG01761,1.06033,1,1.06033,1.06033,0.010730978358350572,chr20
HG00118,NA20527,1.06033,1,1.06033,1.06033,0.010730978358350572,chr20
HG00122,HG00109,1.19315,1,1.19315,1.19315,0.012075171718489512,chr20
HG00122,HG01474,1.06282,1,1.06282,1.06282,0.010756178188698005,chr20
HG00122,HG01705,1.0109,1,1.0109,1.0109,0.01023072630450576,chr20
HG00122,NA07048,1.57129,1,1.57129,1.57129,0.015902104990609216,chr20
HG00122,NA12890,1.0464,1,1.0464,1.0464,0.010590000994198068,chr20
HG00122,NA20797,1.04939,1,1.04939,1.04939,0.010620261031442577,chr20
HG00125,HG00173,1.03774,1,1.03774,1.03774,0.010502358210740734,chr20
HG00125,HG00239,1.25516,1,1.25516,1.25516,0.012702738577864725,chr20
HG00125,HG01060,1.03863,1,1.03863,1.03863,0.010511365379017526,chr20
HG00125,HG01323,1.22206,1,1.22206,1.22206,0.012367752881278374,chr20
HG00125,HG01348,1.04939,1,1.04939,1.04939,0.010620261031442577,chr20
HG00125,HG01500,1.34572,1,1.34572,1.34572,0.013619243251062906,chr20
HG00125,HG03663,1.00401,1,1.00401,1.00401,0.010160996653464071,chr20
HG00125,HG04144,1.02231,1,1.02231,1.02231,0.010346200225897008,chr20
HG00125,NA20539,1.23497,1,1.23497,1.23497,0.012498407423360844,chr20
HG00126,HG00111,1.0653,1,1.0653,1.0653,0.010781276814907493,chr20
HG00126,HG02733,1.03353,1,1.03353,1.03353,0.010459751268667364,chr20
HG00126,NA11995,1.03774,1,1.03774,1.03774,0.010502358210740734,chr20
HG00130,NA20887,1.17114,1,1.17114,1.17114,0.011852421410880281,chr20
HG00131,HG00323,1.14859,1,1.14859,1.14859,0.01162420607982221,chr20
HG00131,HG01500,1.06282,1,1.06282,1.06282,0.010756178188698005,chr20
HG00131,HG01565,1.00401,1,1.00401,1.00401,0.010160996653464071,chr20
HG00131,HG03663,1.00401,1,1.00401,1.00401,0.010160996653464071,chr20
HG00131,NA11931,1.08711,1,1.08711,1.08711,0.011002003039757896,chr20
HG00132,HG00173,1.09614,1,1.09614,1.09614,0.011093390376319064,chr20
HG00132,HG00272,1.19099,1,1.19099,1.19099,0.01205331162469415,chr20
HG00132,HG01378,1.04411,1,1.04411,1.04411,0.010566825246609467,chr20
HG00132,HG01474,1.04939,1,1.04939,1.04939,0.010620261031442577,chr20
HG00137,HG00160,1.84718,1,1.84718,1.84718,0.01869422595227713,chr20
HG00137,HG01124,1.00272,1,1.00272,1.00272,0.010147941319669618,chr20
HG00137,HG01140,1.00272,1,1.00272,1.00272,0.010147941319669618,chr20
HG00137,HG01705,1.02581,1,1.02581,1.02581,0.010381621674176531,chr20
HG00137,HG02087,1.03732,1,1.03732,1.03732,0.01049810763694719,chr20
HG00137,HG02239,1.05682,1,1.05682,1.05682,0.010695455705933107,chr20
HG00137,HG04033,1.00272,1,1.00272,1.00272,0.010147941319669618,chr20
HG00137,NA20812,1.04939,1,1.04939,1.04939,0.010620261031442577,chr20
HG00142,HG00101,1.04785,1,1.04785,1.04785,0.010604675594199585,chr20
HG00142,HG00159,1.22608,1,1.22608,1.22608,0.012408436944730856,chr20
HG00142,HG01456,1.03058,1,1.03058,1.03058,0.010429896047974624,chr20
HG00142,HG01672,1.22206,1,1.22206,1.22206,0.012367752881278374,chr20
HG00142,HG01710,1.04497,1,1.04497,1.04497,0.010575528802472435,chr20
HG00151,HG01054,1.04411,1,1.04411,1.04411,0.010566825246609467,chr20
HG00151,HG01500,1.04939,1,1.04939,1.04939,0.010620261031442577,chr20
HG00151,HG03663,1.39164,1,1.39164,1.39164,0.014083972652490251,chr20
HG00151,NA07347,1.08333,1,1.08333,1.08333,0.01096374787561601,chr20
HG00158,HG01054,1.05662,1,1.05662,1.05662,0.010693431623174276,chr20
HG00158,HG01551,1.06033,1,1.06033,1.06033,0.010730978358350572,chr20
HG00159,HG01060,1.03925,1,1.03925,1.03925,0.0105176400355699,chr20
HG00159,HG01786,1.06952,1,1.06952,1.06952,0.010823984961118806,chr20
HG00160,NA18942,1.08346,1,1.08346,1.08346,0.010965063529409251,chr20
HG00160,NA21108,1.00272,1,1.00272,1.00272,0.010147941319669618,chr20
HG00171,HG00177,1.02981,1,1.02981,1.02981,0.010422103329353127,chr20
HG00171,HG00365,1.02981,1,1.02981,1.02981,0.010422103329353127,chr20
HG00171,HG00373,1.11587,1,1.11587,1.11587,0.011293066140477636,chr20
HG00171,HG00383,1.04411,1,1.04411,1.04411,0.010566825246609467,chr20
HG00171,HG01168,1.02981,1,1.02981,1.02981,0.010422103329353127,chr20
HG00171,HG01173,1.35233,1,1.35233,1.35233,0.013686139186242235,chr20
HG00171,HG01479,1.00931,1,1.00931,1.00931,0.010214634846573062,chr20
HG00171,HG04107,1.0653,1,1.0653,1.0653,0.010781276814907493,chr20
HG00171,NA11931,1.13709,1,1.13709,1.13709,0.011507821321189488,chr20
HG00171,NA19056,1.08945,1,1.08945,1.08945,0.011025684808036207,chr20
HG00171,NA20512,1.66325,1,1.66325,1.66325,0.016832778243119205,chr20
HG00171,NA20899,1.02981,1,1.02981,1.02981,0.010422103329353127,chr20
HG00174,HG00125,1.03774,1,1.03774,1.03774,0.010502358210740734,chr20
HG00174,HG00321,1.00225,1,1.00225,1.00225,0.010143184725186367,chr20
HG00174,NA18942,1.03774,1,1.03774,1.03774,0.010502358210740734,chr20
HG00176,HG01632,1.04939,1,1.04939,1.04939,0.010620261031442577,chr20
HG00181,HG00174,1.06547,1,1.06547,1.06547,0.0107829972852525,chr20
HG00181,HG01073,1.05361,1,1.05361,1.05361,0.010662969177653886,chr20
HG00181,HG02185,1.06547,1,1.06547,1.06547,0.0107829972852525,chr20
HG00181,NA12776,1.11272,1,1.11272,1.11272,0.011261186837026064,chr20
HG00181,NA18942,1.03774,1,1.03774,1.03774,0.010502358210740734,chr20
HG00186,HG00358,2.1751300000000002,2,1.15136,1.0875650000000001,0.02201321565606847,chr20
HG00190,HG00331,1.0657,1,1.0657,1.0657,0.010785324980425155,chr20
HG00190,HG01710,1.08711,1,1.08711,1.08711,0.011002003039757896,chr20
HG00190,HG03922,1.11587,1,1.11587,1.11587,0.011293066140477636,chr20
HG00233,HG00118,1.00401,1,1.00401,1.00401,0.010160996653464071,chr20
HG00233,HG01049,1.12778,1,1.12778,1.12778,0.011413600268765957,chr20
HG00233,HG01779,1.21483,1,1.21483,1.21483,0.012294582289546675,chr20
HG00234,HG00125,1.18925,1,1.18925,1.18925,0.012035702104692328,chr20
HG00234,HG00351,1.32445,1,1.32445,1.32445,0.013403982049661345,chr20
HG00234,HG02230,1.10185,1,1.10185,1.10185,0.01115117793908366,chr20
HG00238,HG00242,1.12702,1,1.12702,1.12702,0.011405908754282403,chr20
HG00238,HG00632,1.02258,1,1.02258,1.02258,0.010348932737621427,chr20
HG00238,HG01565,1.21483,1,1.21483,1.21483,0.012294582289546675,chr20
HG00238,NA18638,1.19581,1,1.19581,1.19581,0.01210209201918195,chr20
HG00239,HG00349,1.25516,1,1.25516,1.25516,0.012702738577864725,chr20
HG00239,HG01121,1.06033,1,1.06033,1.06033,0.010730978358350572,chr20
HG00242,NA20797,1.00401,1,1.00401,1.00401,0.010160996653464071,chr20
HG00242,NA20812,1.08711,1,1.08711,1.08711,0.011002003039757896,chr20
HG00250,HG01624,1.08278,1,1.08278,1.08278,0.010958181648029228,chr20
HG00250,NA11829,1.11166,1,1.11166,1.11166,0.011250459198404268,chr20
HG00265,HG00097,1.04411,1,1.04411,1.04411,0.010566825246609467,chr20
HG00265,HG00338,1.28787,1,1.28787,1.28787,0.013033777313071357,chr20
HG00265,HG00349,1.15136,1,1.15136,1.15136,0.011652239626032002,chr20
HG00265,HG01781,1.05516,1,1.05516,1.05516,0.01067865581903482,chr20
HG00266,HG00171,1.05516,1,1.05516,1.05516,0.01067865581903482,chr20
HG00266,HG00371,1.01638,1,1.01638,1.01638,0.0102861861720977,chr20
HG00266,HG00372,1.31014,1,1.31014,1.31014,0.013259158928267066,chr20
HG00266,HG02221,1.04518,1,1.04518,1.04518,0.010577654089369205,chr20
HG00266,HG03611,1.7386,1,1.7386,1.7386,0.01759535142250837,chr20
HG00266,HG03773,1.04187,1,1.04187,1.04187,0.010544155519710571,chr20
HG00266,NA20512,1.52689,1,1.52689,1.52689,0.015452758618148977,chr20
HG00272,NA11918,1.14035,1,1.14035,1.14035,0.011540813870158416,chr20
HG00274,HG00358,1.29685,1,1.29685,1.29685,0.013124658628942819,chr20
HG00274,HG01197,1.13235,1,1.13235,1.13235,0.01145985055980522,chr20
HG00274,HG01679,1.31568,1,1.31568,1.31568,0.013315226020686653,chr20
HG00275,HG00261,1.2745,1,1.2745,1.2745,0.012898467380643576,chr20
HG00278,HG01182,1.00044,1,1.00044,1.00044,0.010124866776218955,chr20
HG00281,NA12748,1.06547,1,1.06547,1.06547,0.0107829972852525,chr20
HG00281,NA21120,1.08346,1,1.08346,1.08346,0.010965063529409251,chr20
HG00282,HG01618,1.27116,1,1.27116,1.27116,0.012864665198571117,chr20
HG00310,HG00131,1.00401,1,1.00401,1.00401,0.010160996653464071,chr20
HG00310,HG01506,1.00401,1,1.00401,1.00401,0.010160996653464071,chr20
HG00310,NA21108,1.28589,1,1.28589,1.28589,0.013013738893758939,chr20
HG00311,HG00239,1.08333,1,1.08333,1.08333,0.01096374787561601,chr20
HG00311,HG01098,1.02981,1,1.02981,1.02981,0.010422103329353127,chr20
HG00311,HG01398,1.11587,1,1.11587,1.11587,0.011293066140477636,chr20
HG00311,HG03977,1.15136,1,1.15136,1.15136,0.011652239626032002,chr20
HG00311,NA19669,1.02981,1,1.02981,1.02981,0.010422103329353127,chr20
HG00311,NA19761,1.02981,1,1.02981,1.02981,0.010422103329353127,chr20
HG00315,HG01465,1.01955,1,1.01955,1.01955,0.010318267883825153,chr20
HG00315,HG02649,1.019,1,1.019,1.019,0.01031270165623837,chr20
HG00315,HG02783,1.08782,1,1.08782,1.08782,0.011009188533551742,chr20
HG00315,NA21108,1.0621,1,1.0621,1.0621,0.010748891490766216,chr20
HG00323,HG00272,1.17761,1,1.17761,1.17761,0.011917900488128429,chr20
HG00324,HG00125,1.18304,1,1.18304,1.18304,0.011972854335030661,chr20
HG00324,HG00278,2.16606,1,2.16606,2.16606,0.02192142350295553,chr20
HG00324,NA12144,1.13235,1,1.13235,1.13235,0.01145985055980522,chr20
HG00328,HG00339,1.06282,1,1.06282,1.06282,0.010756178188698005,chr20
HG00328,HG00345,1.17114,1,1.17114,1.17114,0.011852421410880281,chr20
HG00328,HG02774,1.04939,1,1.04939,1.04939,0.010620261031442577,chr20
HG00328,NA12546,1.08278,1,1.08278,1.08278,0.010958181648029228,chr20
HG00328,NA19741,1.00145,1,1.00145,1.00145,0.010135088394151047,chr20
HG00330,HG00345,1.26286,1,1.26286,1.26286,0.012780665764079676,chr20
HG00330,HG01098,1.11587,1,1.11587,1.11587,0.011293066140477636,chr20
HG00330,HG01168,1.05516,1,1.05516,1.05516,0.01067865581903482,chr20
HG00330,HG03672,1.35414,1,1.35414,1.35414,0.013704457135209644,chr20
HG00330,NA12144,1.15136,1,1.15136,1.15136,0.011652239626032002,chr20
HG00334,HG01133,1.019,1,1.019,1.019,0.01031270165623837,chr20
HG00334,HG03235,1.02902,1,1.02902,1.02902,0.01041410820245575,chr20
HG00338,HG01679,1.02231,1,1.02231,1.02231,0.010346200225897008,chr20
HG00338,HG02224,1.08182,1,1.08182,1.08182,0.010948466050786844,chr20
HG00338,HG02774,1.03774,1,1.03774,1.03774,0.010502358210740734,chr20
HG00338,NA21142,1.32365,1,1.32365,1.32365,0.013395885718626025,chr20
HG00339,HG00366,1.09614,1,1.09614,1.09614,0.011093390376319064,chr20
HG00339,HG02233,1.21222,1,1.21222,1.21222,0.012268168009543945,chr20
HG00339,HG02783,1.08333,1,1.08333,1.08333,0.01096374787561601,chr20
HG00339,NA20536,1.22608,1,1.22608,1.22608,0.012408436944730856,chr20
HG00339,NA20796,1.05361,1,1.05361,1.05361,0.010662969177653886,chr20
HG00345,NA12144,1.08333,1,1.08333,1.08333,0.01096374787561601,chr20
HG00346,HG01402,1.03863,1,1.03863,1.03863,0.010511365379017526,chr20
HG00346,NA12748,1.00391,1,1.00391,1.00391,0.010159984612084656,chr20
HG00351,HG00125,1.32445,1,1.32445,1.32445,0.013403982049661345,chr20
HG00351,HG00131,1.01772,1,1.01772,1.01772,0.01029974752658186,chr20
HG00351,HG00328,1.08333,1,1.08333,1.08333,0.01096374787561601,chr20
HG00351,HG04186,1.03058,1,1.03058,1.03058,0.010429896047974624,chr20
HG00351,NA12546,1.08333,1,1.08333,1.08333,0.01096374787561601,chr20
HG00357,HG00328,1.04939,1,1.04939,1.04939,0.010620261031442577,chr20
HG00357,HG00349,1.05516,1,1.05516,1.05516,0.01067865581903482,chr20
HG00357,NA20536,1.13571,1,1.13571,1.13571,0.011493855150153562,chr20
HG00365,HG00278,1.20278,1,1.20278,1.20278,0.012172631303327172,chr20
HG00365,HG00331,1.0198,1,1.0198,1.0198,0.010320797987273691,chr20
HG00365,HG02687,1.14639,1,1.14639,1.14639,0.01160194116947508,chr20
HG00365,NA11829,1.05516,1,1.05516,1.05516,0.01067865581903482,chr20
HG00365,NA18959,1.01638,1,1.01638,1.01638,0.0102861861720977,chr20
HG00366,HG00097,1.35078,1,1.35078,1.35078,0.013670452544861303,chr20
HG00366,NA12890,1.0109,1,1.0109,1.0109,0.01023072630450576,chr20
HG00366,NA20786,1.09212,1,1.09212,1.09212,0.011052706312866584,chr20
HG00366,NA20910,1.03774,1,1.03774,1.03774,0.010502358210740734,chr20
HG00368,HG00132,1.04411,1,1.04411,1.04411,0.010566825246609467,chr20
HG00368,HG00158,1.05868,1,1.05868,1.05868,0.010714279675590225,chr20
HG00368,HG00275,1.31069,1,1.31069,1.31069,0.013264725155853847,chr20
HG00368,HG01105,1.31069,1,1.31069,1.31069,0.013264725155853847,chr20
HG00376,HG02233,1.02991,1,1.02991,1.02991,0.010423115370732544,chr20
HG00376,NA12830,1.20859,1,1.20859,1.20859,0.012231430907471181,chr20
HG00376,NA20812,1.38285,1,1.38285,1.38285,0.013995014215239677,chr20
HG00379,HG00125,1.29014,1,1.29014,1.29014,0.013056750652384076,chr20
HG00379,NA12878,1.00145,1,1.00145,1.00145,0.010135088394151047,chr20
HG00407,HG00593,1.10506,1,1.10506,1.10506,0.011183664467362879,chr20
HG00407,HG00864,1.04497,1,1.04497,1.04497,0.010575528802472435,chr20
HG00407,HG02067,2.04819,2,1.04497,1.024095,0.020728530329039124,chr20
HG00407,HG02070,1.16656,1,1.16656,1.16656,0.011806069915703076,chr20
HG00407,HG02156,1.18925,1,1.18925,1.18925,0.012035702104692328,chr20
HG00407,HG03686,1.14639,1,1.14639,1.14639,0.01160194116947508,chr20
HG00407,NA18627,1.04497,1,1.04497,1.04497,0.010575528802472435,chr20
HG00407,NA19055,1.52745,1,1.52745,1.52745,0.0154584260498737,chr20
HG00436,HG01872,1.17761,1,1.17761,1.17761,0.011917900488128429,chr20
HG00436,HG02153,1.11587,1,1.11587,1.11587,0.011293066140477636,chr20
HG00436,NA18959,1.00145,1,1.00145,1.00145,0.010135088394151047,chr20
HG00437,NA18959,1.0836,1,1.0836,1.0836,0.01096648038734043,chr20
HG00452,HG02477,1.06033,1,1.06033,1.06033,0.010730978358350572,chr20
HG00452,NA19783,1.16543,1,1.16543,1.16543,0.011794633848115686,chr20
HG00457,HG02047,1.1021,1,1.1021,1.1021,0.011153708042532198,chr20
HG00457,HG02385,1.00225,1,1.00225,1.00225,0.010143184725186367,chr20
HG00457,HG02397,1.22439,1,1.22439,1.22439,0.012391333445418744,chr20
HG00457,NA19064,1.03353,1,1.03353,1.03353,0.010459751268667364,chr20
HG00463,HG00844,1.24934,1,1.24934,1.24934,0.012643837769582772,chr20
HG00463,HG02026,1.07581,1,1.07581,1.07581,0.010887642363884006,chr20
HG00463,NA18943,1.03353,1,1.03353,1.03353,0.010459751268667364,chr20
HG00463,NA18959,1.00913,1,1.00913,1.00913,0.010212813172090116,chr20
HG00463,NA18968,1.00145,1,1.00145,1.00145,0.010135088394151047,chr20
HG00463,NA19088,1.30644,1,1.30644,1.30644,0.013221713397228713,chr20
HG00566,HG02122,1.04497,1,1.04497,1.04497,0.010575528802472435,chr20
HG00583,NA18560,1.00931,1,1.00931,1.00931,0.010214634846573062,chr20
HG00590,HG01597,1.15136,1,1.15136,1.15136,0.011652239626032002,chr20
HG00590,HG02136,1.08333,1,1.08333,1.08333,0.01096374787561601,chr20
HG00590,NA19089,1.31014,1,1.31014,1.31014,0.013259158928267066,chr20
HG00592,HG02029,1.02355,1,1.02355,1.02355,0.010358749539001752,chr20
HG00593,HG02398,1.05516,1,1.05516,1.05516,0.01067865581903482,chr20
HG00593,HG03800,1.10212,1,1.10212,1.10212,0.01115391045080808,chr20
HG00593,NA18944,1.04497,1,1.04497,1.04497,0.010575528802472435,chr20
HG00611,HG00879,1.09868,1,1.09868,1.09868,0.011119096227356207,chr20
HG00611,HG01868,1.0653,1,1.0653,1.0653,0.010781276814907493,chr20
HG00611,NA18537,1.01434,1,1.01434,1.01434,0.010265540527957634,chr20
HG00611,NA19078,1.06033,1,1.06033,1.06033,0.010730978358350572,chr20
HG00614,HG01872,1.04497,1,1.04497,1.04497,0.010575528802472435,chr20
HG00614,HG02351,1.08907,1,1.08907,1.08907,0.011021839050794428,chr20
HG00614,HG02374,1.08907,1,1.08907,1.08907,0.011021839050794428,chr20
HG00614,NA18959,1.09614,1,1.09614,1.09614,0.011093390376319064,chr20
HG00614,NA19006,1.35091,1,1.35091,1.35091,0.013671768198654542,chr20
HG00614,NA19058,1.06306,1,1.06306,1.06306,0.010758607088008599,chr20
HG00620,HG01066,1.06033,1,1.06033,1.06033,0.010730978358350572,chr20
HG00620,HG03861,1.14639,1,1.14639,1.14639,0.01160194116947508,chr20
